TimePeriod,DonorType,Category,Value,Year,SurvivalRate
1 year,Deceased,Diagnosis,Hypertension,2008,91.3
1 year,Deceased,Diagnosis,Hypertension,2009,90.3
1 year,Deceased,Diagnosis,Hypertension,2010,92.3
1 year,Deceased,Diagnosis,Hypertension,2011,93
1 year,Deceased,Diagnosis,Hypertension,2012,92
1 year,Deceased,Diagnosis,Glomerulonephritis,1996,85.5
1 year,Deceased,Diagnosis,Glomerulonephritis,1997,88.4
1 year,Deceased,Diagnosis,Glomerulonephritis,1998,88.4
1 year,Deceased,Diagnosis,Glomerulonephritis,1999,87.1
1 year,Deceased,Diagnosis,Glomerulonephritis,2000,88.2
1 year,Deceased,Diagnosis,Glomerulonephritis,2001,89.4
1 year,Deceased,Diagnosis,Glomerulonephritis,2002,89.4
1 year,Deceased,Diagnosis,Glomerulonephritis,2003,88.6
1 year,Deceased,Diagnosis,Glomerulonephritis,2004,89.6
1 year,Deceased,Diagnosis,Glomerulonephritis,2005,89.6
1 year,Deceased,Diagnosis,Glomerulonephritis,2006,90.5
1 year,Deceased,Diagnosis,Glomerulonephritis,2007,91.1
1 year,Deceased,Diagnosis,Glomerulonephritis,2008,92.2
1 year,Deceased,Diagnosis,Glomerulonephritis,2009,91.9
1 year,Deceased,Diagnosis,Glomerulonephritis,2010,92.6
1 year,Deceased,Diagnosis,Glomerulonephritis,2011,93.4
1 year,Deceased,Diagnosis,Glomerulonephritis,2012,93.4
1 year,Deceased,Diagnosis,Other cause,1996,86.2
1 year,Deceased,Diagnosis,Other cause,1997,88.6
1 year,Deceased,Diagnosis,Other cause,1998,87.4
1 year,Deceased,Diagnosis,Other cause,1999,87
1 year,Deceased,Diagnosis,Other cause,2000,89.1
1 year,Deceased,Diagnosis,Other cause,2001,88.3
1 year,Deceased,Diagnosis,Other cause,2002,88.5
1 year,Deceased,Diagnosis,Other cause,2003,89.9
1 year,Deceased,Diagnosis,Other cause,2004,90
1 year,Deceased,Diagnosis,Other cause,2005,90.1
1 year,Deceased,Diagnosis,Other cause,2006,90.6
1 year,Deceased,Diagnosis,Other cause,2007,91.2
1 year,Deceased,Diagnosis,Other cause,2008,90.9
1 year,Deceased,Diagnosis,Other cause,2009,92.3
1 year,Deceased,Diagnosis,Other cause,2010,90.6
1 year,Deceased,Diagnosis,Other cause,2011,93.3
1 year,Deceased,Diagnosis,Other cause,2012,92.6
90 days,Deceased,Sex,Male,1996,90.5
90 days,Deceased,Sex,Male,1997,92.7
90 days,Deceased,Sex,Male,1998,92
90 days,Deceased,Sex,Male,1999,92
90 days,Deceased,Sex,Male,2000,92.5
90 days,Deceased,Sex,Male,2001,92.4
90 days,Deceased,Sex,Male,2002,92.4
90 days,Deceased,Sex,Male,2003,92.8
90 days,Deceased,Sex,Male,2004,93.3
90 days,Deceased,Sex,Male,2005,93.4
90 days,Deceased,Sex,Male,2006,93.5
90 days,Deceased,Sex,Male,2007,94.6
90 days,Deceased,Sex,Male,2008,94.4
90 days,Deceased,Sex,Male,2009,94.7
90 days,Deceased,Sex,Male,2010,95
90 days,Deceased,Sex,Male,2011,95.4
90 days,Deceased,Sex,Male,2012,95.7
90 days,Deceased,Sex,Female,1996,90.8
90 days,Deceased,Sex,Female,1997,90.7
90 days,Deceased,Sex,Female,1998,91.8
90 days,Deceased,Sex,Female,1999,90.9
90 days,Deceased,Sex,Female,2000,91.3
90 days,Deceased,Sex,Female,2001,93
90 days,Deceased,Sex,Female,2002,92.6
90 days,Deceased,Sex,Female,2003,93.4
90 days,Deceased,Sex,Female,2004,93.4
90 days,Deceased,Sex,Female,2005,93.7
90 days,Deceased,Sex,Female,2006,94.5
90 days,Deceased,Sex,Female,2007,94.3
90 days,Deceased,Sex,Female,2008,94.8
90 days,Deceased,Sex,Female,2009,94.8
90 days,Deceased,Sex,Female,2010,94.4
90 days,Deceased,Sex,Female,2011,95.6
90 days,Deceased,Sex,Female,2012,95.8
1 year,Deceased,Sex,Male,1996,85.5
1 year,Deceased,Sex,Male,1997,87.5
1 year,Deceased,Sex,Male,1998,87
1 year,Deceased,Sex,Male,1999,86.4
1 year,Deceased,Sex,Male,2000,86.8
1 year,Deceased,Sex,Male,2001,87.4
1 year,Deceased,Sex,Male,2002,87.2
1 year,Deceased,Sex,Male,2003,87.4
1 year,Deceased,Sex,Male,2004,88
1 year,Deceased,Sex,Male,2005,88.3
1 year,Deceased,Sex,Male,2006,88.6
1 year,Deceased,Sex,Male,2007,90
1 year,Deceased,Sex,Male,2008,90.2
1 year,Deceased,Sex,Male,2009,90.3
1 year,Deceased,Sex,Male,2010,91.2
1 year,Deceased,Sex,Male,2011,92.2
1 year,Deceased,Sex,Male,2012,92.4
1 year,Deceased,Sex,Female,1996,85.9
1 year,Deceased,Sex,Female,1997,86.4
1 year,Deceased,Sex,Female,1998,87.4
1 year,Deceased,Sex,Female,1999,86.1
1 year,Deceased,Sex,Female,2000,86.7
1 year,Deceased,Sex,Female,2001,88.3
1 year,Deceased,Sex,Female,2002,88.4
1 year,Deceased,Sex,Female,2003,88.8
1 year,Deceased,Sex,Female,2004,89.3
1 year,Deceased,Sex,Female,2005,89.1
1 year,Deceased,Sex,Female,2006,90.2
1 year,Deceased,Sex,Female,2007,90.7
1 year,Deceased,Sex,Female,2008,90.9
1 year,Deceased,Sex,Female,2009,90.9
1 year,Deceased,Sex,Female,2010,90.7
1 year,Deceased,Sex,Female,2011,92.6
1 year,Deceased,Sex,Female,2012,92.3
90 days,Deceased,Transplants,First transplant,1996,90.9
90 days,Deceased,Transplants,First transplant,1997,92.4
90 days,Deceased,Transplants,First transplant,1998,92
90 days,Deceased,Transplants,First transplant,1999,91.8
90 days,Deceased,Transplants,First transplant,2000,92.3
90 days,Deceased,Transplants,First transplant,2001,92.9
90 days,Deceased,Transplants,First transplant,2002,92.5
90 days,Deceased,Transplants,First transplant,2003,93.3
90 days,Deceased,Transplants,First transplant,2004,93.7
90 days,Deceased,Transplants,First transplant,2005,93.9
90 days,Deceased,Transplants,First transplant,2006,94.1
90 days,Deceased,Transplants,First transplant,2007,94.6
90 days,Deceased,Transplants,First transplant,2008,94.8
90 days,Deceased,Transplants,First transplant,2009,94.9
90 days,Deceased,Transplants,First transplant,2010,94.9
90 days,Deceased,Transplants,First transplant,2011,95.6
90 days,Deceased,Transplants,First transplant,2012,95.8
90 days,Deceased,Transplants,Subsequent transplants,1996,88.4
90 days,Deceased,Transplants,Subsequent transplants,1997,88.8
90 days,Deceased,Transplants,Subsequent transplants,1998,91.1
90 days,Deceased,Transplants,Subsequent transplants,1999,90.1
90 days,Deceased,Transplants,Subsequent transplants,2000,90.3
90 days,Deceased,Transplants,Subsequent transplants,2001,91.1
90 days,Deceased,Transplants,Subsequent transplants,2002,92.4
90 days,Deceased,Transplants,Subsequent transplants,2003,91.2
90 days,Deceased,Transplants,Subsequent transplants,2004,91.1
90 days,Deceased,Transplants,Subsequent transplants,2005,90.9
90 days,Deceased,Transplants,Subsequent transplants,2006,92.7
90 days,Deceased,Transplants,Subsequent transplants,2007,93.6
90 days,Deceased,Transplants,Subsequent transplants,2008,92.6
90 days,Deceased,Transplants,Subsequent transplants,2009,93.7
90 days,Deceased,Transplants,Subsequent transplants,2010,94.1
90 days,Deceased,Transplants,Subsequent transplants,2011,94.7
90 days,Deceased,Transplants,Subsequent transplants,2012,95.1
1 year,Deceased,Transplants,First transplant,1996,86
1 year,Deceased,Transplants,First transplant,1997,87.4
1 year,Deceased,Transplants,First transplant,1998,87.3
1 year,Deceased,Transplants,First transplant,1999,86.6
1 year,Deceased,Transplants,First transplant,2000,87
1 year,Deceased,Transplants,First transplant,2001,88.2
1 year,Deceased,Transplants,First transplant,2002,87.6
1 year,Deceased,Transplants,First transplant,2003,88.4
1 year,Deceased,Transplants,First transplant,2004,88.9
1 year,Deceased,Transplants,First transplant,2005,88.8
1 year,Deceased,Transplants,First transplant,2006,89.5
1 year,Deceased,Transplants,First transplant,2007,90.4
1 year,Deceased,Transplants,First transplant,2008,91
1 year,Deceased,Transplants,First transplant,2009,90.6
1 year,Deceased,Transplants,First transplant,2010,91.2
1 year,Deceased,Transplants,First transplant,2011,92.5
1 year,Deceased,Transplants,First transplant,2012,92.5
1 year,Deceased,Transplants,Subsequent transplants,1996,83.9
1 year,Deceased,Transplants,Subsequent transplants,1997,84.8
1 year,Deceased,Transplants,Subsequent transplants,1998,86
1 year,Deceased,Transplants,Subsequent transplants,1999,84.5
1 year,Deceased,Transplants,Subsequent transplants,2000,85
1 year,Deceased,Transplants,Subsequent transplants,2001,85.3
1 year,Deceased,Transplants,Subsequent transplants,2002,88.2
1 year,Deceased,Transplants,Subsequent transplants,2003,84.8
1 year,Deceased,Transplants,Subsequent transplants,2004,85.8
1 year,Deceased,Transplants,Subsequent transplants,2005,86.7
1 year,Deceased,Transplants,Subsequent transplants,2006,87.2
1 year,Deceased,Transplants,Subsequent transplants,2007,88.8
1 year,Deceased,Transplants,Subsequent transplants,2008,86.7
1 year,Deceased,Transplants,Subsequent transplants,2009,89.7
1 year,Deceased,Transplants,Subsequent transplants,2010,89.3
1 year,Deceased,Transplants,Subsequent transplants,2011,91.1
1 year,Deceased,Transplants,Subsequent transplants,2012,91.2
90 days,Deceased,All,All,1996,90.6
90 days,Deceased,All,All,1997,91.9
90 days,Deceased,All,All,1998,91.9
90 days,Deceased,All,All,1999,91.6
90 days,Deceased,All,All,2000,92
90 days,Deceased,All,All,2001,92.7
90 days,Deceased,All,All,2002,92.5
90 days,Deceased,All,All,2003,93.1
90 days,Deceased,All,All,2004,93.3
90 days,Deceased,All,All,2005,93.5
90 days,Deceased,All,All,2006,93.9
90 days,Deceased,All,All,2007,94.5
90 days,Deceased,All,All,2008,94.5
90 days,Deceased,All,All,2009,94.7
90 days,Deceased,All,All,2010,94.8
90 days,Deceased,All,All,2011,95.5
90 days,Deceased,All,All,2012,95.8
1 year,Deceased,All,All,1996,85.7
1 year,Deceased,All,All,1997,87.1
1 year,Deceased,All,All,1998,87.2
1 year,Deceased,All,All,1999,86.3
1 year,Deceased,All,All,2000,86.8
1 year,Deceased,All,All,2001,87.8
1 year,Deceased,All,All,2002,87.7
1 year,Deceased,All,All,2003,87.9
1 year,Deceased,All,All,2004,88.5
1 year,Deceased,All,All,2005,88.6
1 year,Deceased,All,All,2006,89.2
1 year,Deceased,All,All,2007,90.3
1 year,Deceased,All,All,2008,90.5
1 year,Deceased,All,All,2009,90.5
1 year,Deceased,All,All,2010,91
1 year,Deceased,All,All,2011,92.4
1 year,Deceased,All,All,2012,92.4
